iter	MultiClass
0	2.223603548
1	2.12759403
2	2.058161143
3	2.006357623
4	1.961213545
5	1.923946347
6	1.89431465
7	1.871130253
8	1.851723909
9	1.834558799
10	1.820639548
11	1.801151089
12	1.788133817
13	1.776181736
14	1.765972642
15	1.756050648
16	1.747622672
17	1.737151192
18	1.728083897
19	1.720003792
20	1.713692279
21	1.707187782
22	1.700219097
23	1.694939111
24	1.688556097
25	1.68268778
26	1.678128662
27	1.67266329
28	1.667827431
29	1.662542234
30	1.658210636
31	1.65290725
32	1.649515905
33	1.645073643
34	1.641089816
35	1.637547446
36	1.633958502
37	1.631287948
38	1.627606057
39	1.624264085
40	1.6214315
41	1.61888952
42	1.615145873
43	1.61294686
44	1.609027823
45	1.606838442
46	1.603886776
47	1.601792218
48	1.599468071
49	1.597322255
50	1.5951096
51	1.593501343
52	1.591317865
53	1.587684168
54	1.584966897
55	1.582355757
56	1.579887964
57	1.578933256
58	1.576384016
59	1.574052454
60	1.571660423
61	1.569852911
62	1.568462229
63	1.566391089
64	1.565011696
65	1.562538716
66	1.560785188
67	1.558409705
68	1.555304676
69	1.553142351
70	1.551370539
71	1.549867146
72	1.547138547
73	1.544889365
74	1.542789812
75	1.541437896
76	1.539593814
77	1.538247871
78	1.536212197
79	1.534095288
80	1.532690537
81	1.530720232
82	1.529702289
83	1.528516484
84	1.526742382
85	1.525360994
86	1.523624739
87	1.521378399
88	1.519947211
89	1.518159907
90	1.516219621
91	1.514714456
92	1.513126219
93	1.511761542
94	1.510486426
95	1.509200181
96	1.507428828
97	1.506363546
98	1.505129193
99	1.503180155
