iter	Passed	Remaining
0	506	50103
1	1035	50733
2	1532	49562
3	2033	48794
4	2531	48095
5	3032	47510
6	3543	47075
7	4046	46534
8	4562	46127
9	5072	45652
10	5583	45172
11	6107	44786
12	6647	44484
13	7166	44021
14	7682	43533
15	8194	43022
16	8732	42637
17	9252	42151
18	9777	41681
19	10308	41232
20	10843	40791
21	11372	40321
22	11906	39861
23	12440	39395
24	12974	38924
25	13503	38432
26	14041	37963
27	14578	37487
28	15119	37016
29	15653	36524
30	16202	36062
31	16751	35597
32	17290	35104
33	17824	34599
34	18353	34085
35	18888	33580
36	19430	33084
37	19973	32588
38	20524	32101
39	21060	31590
40	21608	31095
41	22145	30581
42	22681	30066
43	23218	29551
44	23780	29064
45	24318	28547
46	24863	28037
47	25412	27529
48	25957	27017
49	26491	26491
50	27052	25991
51	27591	25468
52	28136	24951
53	28690	24439
54	29237	23921
55	29781	23399
56	30326	22877
57	30892	22370
58	31451	21856
59	32079	21386
60	32661	20882
61	33274	20394
62	33854	19882
63	34400	19350
64	34970	18830
65	35532	18304
66	36093	17777
67	36645	17244
68	37210	16717
69	37774	16189
70	38354	15665
71	38918	15134
72	39477	14601
73	40045	14069
74	40597	13532
75	41132	12989
76	41671	12447
77	42209	11905
78	42742	11361
79	43285	10821
80	43810	10276
81	44361	9737
82	44897	9195
83	45442	8655
84	45983	8114
85	46534	7575
86	47128	7042
87	47694	6503
88	48228	5960
89	48773	5419
90	49307	4876
91	49849	4334
92	50386	3792
93	50911	3249
94	51454	2708
95	51990	2166
96	52545	1625
97	53077	1083
98	53621	541
99	54165	0
